"Route Name","Driver Name","Zone","Ward","Vehicle No","Route Type","Delete","Download","View Route","Edit"
"W40R2","n/a","1-City","40-Rajkumar","55670","doorToDoor","undefined","undefined","undefined","undefined"
"W52R1","n/a","3-Aurangabad","52-Chandrapuri","M181 UP85AG0763","doorToDoor","undefined","undefined","undefined","undefined"
"W52R3","n/a","3-Aurangabad","52-Chandrapuri","UP85AG0949","doorToDoor","undefined","undefined","undefined","undefined"
"W52R2","n/a","3-Aurangabad","52-Chandrapuri","M235 UP85ET 7838_C","doorToDoor","undefined","undefined","undefined","undefined"
"W57R2","n/a","3-Aurangabad","57-Balajipuram","M185    UP85AG0756","doorToDoor","undefined","undefined","undefined","undefined"
"W41R3","n/a","3-Aurangabad","41-Dhaulipiau","M088  UP85AG0791_C","doorToDoor","undefined","undefined","undefined","undefined"
"W41R1","n/a","3-Aurangabad","41-Dhaulipiau","M020 UP14PT7998","doorToDoor","undefined","undefined","undefined","undefined"
"W41R2","n/a","3-Aurangabad","41-Dhaulipiau","M060 UP85AG0881","doorToDoor","undefined","undefined","undefined","undefined"
"W37R1","n/a","2-Bhuteswar","37-Baldevpuri","M077  UP85AG0761_C","doorToDoor","undefined","undefined","undefined","undefined"
"W37R2","n/a","2-Bhuteswar","37-Baldevpuri","M254 UP85ET 7853","doorToDoor","undefined","undefined","undefined","undefined"
"W8R1","n/a","4-Vrindavan","08-Atas","M204 UP85AG0955","doorToDoor","undefined","undefined","undefined","undefined"
"W43R1","n/a","2-Bhuteswar","43-Ganeshra","M109   UP85AG0794","doorToDoor","undefined","undefined","undefined","undefined"
"W32R2","n/a","3-Aurangabad","32-Ranchibagar","M129   UP85AG0780","doorToDoor","undefined","undefined","undefined","undefined"
"W28R1","n/a","3-Aurangabad","28-Aurangabad Second","M027 UP14PT8097","doorToDoor","undefined","undefined","undefined","undefined"
"W20R2","n/a","2-Bhuteswar","20-Krishna Nagar First","M229   UP85AG0792_C","doorToDoor","undefined","undefined","undefined","undefined"
"W20R1","n/a","2-Bhuteswar","20-Krishna Nagar First","M147  UP85AG0915(ER)","doorToDoor","undefined","undefined","undefined","undefined"
"W18R2","n/a","1-City","18-General ganj","M050 UP85AG0772_C","doorToDoor","undefined","undefined","undefined","undefined"
"W17R1","n/a","2-Bhuteswar","17-Bairaagpura","UP14PT7751","doorToDoor","undefined","undefined","undefined","undefined"
"W5R1","n/a","1-City","05-Bharatpur Gate","M013 UP14PT7750","doorToDoor","undefined","undefined","undefined","undefined"
"W5R2","n/a","1-City","05-Bharatpur Gate","M080  UP85AG0795_C","doorToDoor","undefined","undefined","undefined","undefined"
"W4R2","n/a","1-City","04-Ishapur Yamunapar","M078   UP85AG0757","doorToDoor","undefined","undefined","undefined","undefined"
"W4R1","","1-City","04-Ishapur Yamunapar","M006 UP14PT8096","doorToDoor","undefined","undefined","undefined","undefined"
"W2R1","n/a","1-City","02-Ambedkar Nagar","M075   UP85AG0671","doorToDoor","undefined","undefined","undefined","undefined"
"W44R1","n/a","2-Bhuteswar","44-Radhika Bihar","M012 UP14PT7946","doorToDoor","undefined","undefined","undefined","undefined"
"W11R1","n/a","3-Aurangabad","11-Tarsi","M042 UP85AG0883","doorToDoor","undefined","undefined","undefined","undefined"
"W58R1","n/a","2-Bhuteswar","58-Gau Ghat","M111  UP85AG0882","doorToDoor","undefined","undefined","undefined","undefined"
"W10R2","n/a","3-Aurangabad","10-Aurangabad First","M239 UP85ET 7834","doorToDoor","undefined","undefined","undefined","undefined"
"W10R1","n/a","3-Aurangabad","10-Aurangabad First","M268 UP85ET 7848","doorToDoor","undefined","undefined","undefined","undefined"
"W24R3","n/a","2-Bhuteswar","24-Sarai Azamabad","M096   UP85AG0894","doorToDoor","undefined","undefined","undefined","undefined"
"W49R3","n/a","1-City","49-Daimpiriyal Nagar","M225 UP85AG0953","doorToDoor","undefined","undefined","undefined","undefined"
"W60R2","n/a","2-Bhuteswar","60-Jagannath Puri","M135   UP85AG0674","doorToDoor","undefined","undefined","undefined","undefined"
"W23R2","n/a","1-City","23-Aheer Pada","M112   UP85AG0885_C","doorToDoor","undefined","undefined","undefined","undefined"
"W51R2","n/a","4-Vrindavan","51-Gaushala Nagar","M274 UP14PT8106","doorToDoor","undefined","undefined","undefined","undefined"
"W56R5","n/a","2-Bhuteswar","56-Mandi Randas","M262 UP85ET 7851","doorToDoor","undefined","undefined","undefined","undefined"
"W24R1","n/a","2-Bhuteswar","24-Sarai Azamabad","M040 UP14PT7938","doorToDoor","undefined","undefined","undefined","undefined"
"W47R2","n/a","2-Bhuteswar","47-Dwarkapuri","M225 UP85AG0953","doorToDoor","undefined","undefined","undefined","undefined"
"W47R1","n/a","2-Bhuteswar","47-Dwarkapuri","M236 UP85ET 7830","doorToDoor","undefined","undefined","undefined","undefined"
"W30R2","","2-Bhuteswar","30-Krishna Nagar Second","M127   UP85AG0762","doorToDoor","undefined","undefined","undefined","undefined"
"W56R3","n/a","2-Bhuteswar","56-Mandi Randas","M016 UP14PT7747","doorToDoor","undefined","undefined","undefined","undefined"
"W60R1","Parvin (parvinchoudhary329)","2-Bhuteswar","60-Jagannath Puri","M266 UP85ET 7864","doorToDoor","undefined","undefined","undefined","undefined"
"W30R1","n/a","2-Bhuteswar","30-Krishna Nagar Second","M009 UP14PT7717","doorToDoor","undefined","undefined","undefined","undefined"
"W65R2","n/a","1-City","65-Holi Gali","M117   UP85AG0765_C","doorToDoor","undefined","undefined","undefined","undefined"
"W29R1","n/a","3-Aurangabad","29-Koyla Alipur","M116 UP85AG0768","doorToDoor","undefined","undefined","undefined","undefined"
"W65R3","n/a","1-City","65-Holi Gali","M002 UP14PT7728_C","doorToDoor","undefined","undefined","undefined","undefined"
"W56R2","n/a","2-Bhuteswar","56-Mandi Randas","M053 UP85AG0769","doorToDoor","undefined","undefined","undefined","undefined"
"W15R1","","3-Aurangabad","15-Maholi First","M003 UP14PT7948","doorToDoor","undefined","undefined","undefined","undefined"
"W48R1","n/a","2-Bhuteswar","48-Satoha Asangpur","M258 UP85ET 7843","doorToDoor","undefined","undefined","undefined","undefined"
"W46R1","n/a","2-Bhuteswar","46-Radha Nagar","55556","doorToDoor","undefined","undefined","undefined","undefined"
"W36R1","","2-Bhuteswar","36-Jaisingh Pura","M182 UP85AG0797","doorToDoor","undefined","undefined","undefined","undefined"
"W40R1","n/a","1-City","40-Rajkumar","M052 UP85AG0790","doorToDoor","undefined","undefined","undefined","undefined"
"W68R1","n/a","1-City","68-Shanti Nagar","M178 UP85AG0760","doorToDoor","undefined","undefined","undefined","undefined"
